Var1 Var2
2e-10 0.0970568761561362
0.000200000196 0.0968707737197758
0.000400000192 0.0963264522481795
0.000600000188 0.0954376377972403
0.000800000184 0.094215057656192
0.00100000018 0.0926580712538881
0.001200000176 0.0907707299698161
0.001400000172 0.0885575375986286
0.001600000168 0.08602599413731
0.001800000164 0.0831900099024743
0.00200000016 0.0800626139306672
0.002200000156 0.0766544539251901
0.002400000152 0.0729782762169858
0.002600000148 0.0690471186639312
0.002800000144 0.0648716072870418
0.00300000014 0.0604640578631344
0.003200000136 0.0558379889735112
0.003400000132 0.0510052924581379
0.003600000128 0.0459782671993398
0.003800000124 0.0407738221813662
0.00400000012 0.0354141335446132
0.004200000116 0.0299278892527744
0.004400000112 0.0243522514597326
0.004600000108 0.0187276069267991
0.004800000104 0.013097511636441
0.0050000001 0.0075045627679105
0.005200000096 0.00198436759589979
0.005400000092 -0.00343910383519924
0.005600000088 -0.00875646351472984
0.005800000084 -0.0139728075232178
0.00600000008 -0.019104786575368
0.006200000076 -0.0241756421687352
0.006400000072 -0.0292095584092339
0.006600000068 -0.0342270047197588
0.006800000064 -0.0392418320740277
0.00700000006 -0.0442605239708436
0.007200000056 -0.0492831759873692
0.007400000052 -0.054305414756841
0.007600000048 -0.0593205186107661
0.007800000044 -0.0643211599722394
0.00800000004 -0.0693005431909188
0.008200000036 -0.0742529267314899
0.008400000032 -0.079173713413063
0.008600000028 -0.0840593066712514
0.008800000024 -0.0889068444376504
0.00900000002 -0.0937139737959529
0.009200000016 -0.0984786498580222
0.009400000012 -0.103199002988278
0.009600000008 -0.107873264948972
0.009800000004 -0.112499711485221
0.01 -0.117076647161782
0.010199999996 -0.121602376944572
0.010399999992 -0.126075214003329
0.010599999988 -0.130493468475329
0.010799999984 -0.134855443208618
0.01099999998 -0.13915944520225
0.011199999976 -0.143403767826324
0.011399999972 -0.147586705397929
0.011599999968 -0.151706546634481
0.011799999964 -0.15576157003926
0.01199999996 -0.159750057063225
0.012199999956 -0.163670275567956
0.012399999952 -0.167520499864749
0.012599999948 -0.171299000411291
0.012799999944 -0.175004043352485
0.01299999994 -0.17863390029814
0.013199999936 -0.182186885925982
0.013399999932 -0.185661321565959
0.013599999928 -0.189055421694001
0.013799999924 -0.192367161905085
0.01399999992 -0.195594595779346
0.014199999916 -0.198735669437584
0.014399999912 -0.201789853754715
0.014599999908 -0.204755721645293
0.014799999904 -0.207631641170629
0.0149999999 -0.210415085058536
0.015199999896 -0.213104333725743
0.015399999892 -0.215697442186526
0.015599999888 -0.218193553075953
0.015799999884 -0.220590841021834
0.01599999988 -0.222887056106593
0.016199999876 -0.225081928736339
0.016399999872 -0.22717465321276
0.016599999868 -0.229163482657254
0.016799999864 -0.231046349206771
0.01699999986 -0.232821838753057
0.017199999856 -0.234488435014096
0.017399999852 -0.236044488262173
0.017599999848 -0.237491063518352
0.017799999844 -0.238826717797596
0.01799999984 -0.240049182374839
0.018199999836 -0.241156641102805
0.018399999832 -0.242149643837157
0.018599999828 -0.243027364591313
0.018799999824 -0.243790173328305
0.01899999982 -0.244437759806322
0.019199999816 -0.244968851329538
0.019399999812 -0.245382019069505
0.019599999808 -0.245676871959409
0.019799999804 -0.245853322538629
0.0199999998 -0.245912250019996
