x	y
0.0000000000000000E+000	1.6000012002401465E+000
1.6949152542372881E-002	1.5781170242541640E+000
3.3898305084745763E-002	1.5577767695520712E+000
5.0847457627118647E-002	1.5393186519235085E+000
6.7796610169491525E-002	1.5227932168445681E+000
8.4745762711864403E-002	1.5081349612974988E+000
1.0169491525423729E-001	1.4950758782240432E+000
1.1864406779661017E-001	1.4834885441061954E+000
1.3559322033898305E-001	1.4732599299715892E+000
1.5254237288135594E-001	1.4642164589864286E+000
1.6949152542372881E-001	1.4562899458627609E+000
1.8644067796610170E-001	1.4493267685026914E+000
2.0338983050847459E-001	1.4432104254476836E+000
2.2033898305084745E-001	1.4378548914014053E+000
2.3728813559322035E-001	1.4331361927247819E+000
2.5423728813559321E-001	1.4289859216107763E+000
2.7118644067796610E-001	1.4253130289163309E+000
2.8813559322033899E-001	1.4220454331767389E+000
3.0508474576271188E-001	1.4191218433759487E+000
3.2203389830508472E-001	1.4164813294501466E+000
3.3898305084745761E-001	1.4140813639686662E+000
3.5593220338983050E-001	1.4118796140193373E+000
3.7288135593220340E-001	1.4098467960317851E+000
3.8983050847457629E-001	1.4079554287328138E+000
4.0677966101694918E-001	1.4061855846069928E+000
4.2372881355932202E-001	1.4045191407846354E+000
4.4067796610169491E-001	1.4029420011309099E+000
4.5762711864406780E-001	1.4014415270827176E+000
4.7457627118644069E-001	1.4000070154198891E+000
4.9152542372881358E-001	1.3986291048478094E+000
5.0847457627118642E-001	1.3972992692141448E+000
5.2542372881355937E-001	1.3960103643008390E+000
5.4237288135593220E-001	1.3947556518160733E+000
5.5932203389830504E-001	1.3935297755938136E+000
5.7627118644067798E-001	1.3923277542950196E+000
5.9322033898305082E-001	1.3911458334075992E+000
6.1016949152542377E-001	1.3899807669567192E+000
6.2711864406779660E-001	1.3888302232456700E+000
6.4406779661016944E-001	1.3876924900962175E+000
6.6101694915254239E-001	1.3865663733673568E+000
6.7796610169491522E-001	1.3854512670798877E+000
6.9491525423728817E-001	1.3843466587981299E+000
7.1186440677966101E-001	1.3832524211028887E+000
7.2881355932203384E-001	1.3821679310615012E+000
7.4576271186440679E-001	1.3810925395470797E+000
7.6271186440677963E-001	1.3800237343371804E+000
7.7966101694915257E-001	1.3789582140563248E+000
7.9661016949152541E-001	1.3778855842156470E+000
8.1355932203389836E-001	1.3767917042273121E+000
8.3050847457627119E-001	1.3756365242089799E+000
8.4745762711864403E-001	1.3743675227984256E+000
8.6440677966101698E-001	1.3728078205992225E+000
8.8135593220338981E-001	1.3707045893693697E+000
8.9830508474576276E-001	1.3672428811475319E+000
9.1525423728813560E-001	1.3613958328969087E+000
9.3220338983050843E-001	1.3489740266148442E+000
9.4915254237288138E-001	1.3199597484709229E+000
9.6610169491525422E-001	1.2465132198146349E+000
9.8305084745762716E-001	1.0426802607463803E+000
1.0000000000000000E+000	4.0169159644893782E-001
