x	y
0.0000000000000000E+000	1.6000002350863813E+000
1.6949152542372881E-002	1.5838650236344600E+000
3.3898305084745763E-002	1.5680726582409985E+000
5.0847457627118647E-002	1.5528813439090923E+000
6.7796610169491525E-002	1.5384586565219478E+000
8.4745762711864403E-002	1.5248903228275423E+000
1.0169491525423729E-001	1.5121906849888846E+000
1.1864406779661017E-001	1.5003438528555944E+000
1.3559322033898305E-001	1.4893197443440560E+000
1.5254237288135594E-001	1.4790815578297898E+000
1.6949152542372881E-001	1.4695905036009154E+000
1.8644067796610170E-001	1.4608058172369629E+000
2.0338983050847459E-001	1.4526886952915754E+000
2.2033898305084745E-001	1.4451979572293401E+000
2.3728813559322035E-001	1.4382943060308495E+000
2.5423728813559321E-001	1.4319369374306679E+000
2.7118644067796610E-001	1.4260860604638734E+000
2.8813559322033899E-001	1.4207022097589919E+000
3.0508474576271188E-001	1.4157465409807375E+000
3.2203389830508472E-001	1.4111820359506158E+000
3.3898305084745761E-001	1.4069726072345723E+000
3.5593220338983050E-001	1.4030846656650082E+000
3.7288135593220340E-001	1.3994861412656741E+000
3.8983050847457629E-001	1.3961475094499838E+000
4.0677966101694918E-001	1.3930412017928742E+000
4.2372881355932202E-001	1.3901419432495283E+000
4.4067796610169491E-001	1.3874265402913020E+000
4.5762711864406780E-001	1.3848737483701437E+000
4.7457627118644069E-001	1.3824642666074007E+000
4.9152542372881358E-001	1.3801803968333854E+000
5.0847457627118642E-001	1.3780060964561722E+000
5.2542372881355937E-001	1.3759265999375747E+000
5.4237288135593220E-001	1.3739284425413436E+000
5.5932203389830504E-001	1.3719991086207097E+000
5.7627118644067798E-001	1.3701269764180599E+000
5.9322033898305082E-001	1.3683009703958797E+000
6.1016949152542377E-001	1.3665103748826686E+000
6.2711864406779660E-001	1.3647443891451949E+000
6.4406779661016944E-001	1.3629917032806027E+000
6.6101694915254239E-001	1.3612397436753823E+000
6.7796610169491522E-001	1.3594737556747780E+000
6.9491525423728817E-001	1.3576752955741807E+000
7.1186440677966101E-001	1.3558201968404426E+000
7.2881355932203384E-001	1.3538753085693913E+000
7.4576271186440679E-001	1.3517937997931126E+000
7.6271186440677963E-001	1.3495077232030153E+000
7.7966101694915257E-001	1.3469167042476746E+000
7.9661016949152541E-001	1.3438700835050359E+000
8.1355932203389836E-001	1.3401385658326597E+000
8.3050847457627119E-001	1.3353682610957087E+000
8.4745762711864403E-001	1.3290060926855594E+000
8.6440677966101698E-001	1.3201706491085341E+000
8.8135593220338981E-001	1.3074512634803117E+000
8.9830508474576276E-001	1.2884896857175279E+000
9.1525423728813560E-001	1.2594264976730734E+000
9.3220338983050843E-001	1.2134743239204815E+000
9.4915254237288138E-001	1.1388187978495241E+000
9.6610169491525422E-001	1.0135656519906793E+000
9.8305084745762716E-001	7.9679456624840572E-001
1.0000000000000000E+000	4.0038896296181786E-001
