x	y
0.0000000000000000E+000	1.5999999376494181E+000
1.6949152542372881E-002	1.5885101650915923E+000
3.3898305084745763E-002	1.5770078895502435E+000
5.0847457627118647E-002	1.5655280002962060E+000
6.7796610169491525E-002	1.5541028120200415E+000
8.4745762711864403E-002	1.5427612671336852E+000
1.0169491525423729E-001	1.5315282216082688E+000
1.1864406779661017E-001	1.5204248317589717E+000
1.3559322033898305E-001	1.5094686974424512E+000
1.5254237288135594E-001	1.4986740784680972E+000
1.6949152542372881E-001	1.4880521851295130E+000
1.8644067796610170E-001	1.4776114336355861E+000
2.0338983050847459E-001	1.4673577198958485E+000
2.2033898305084745E-001	1.4572946204272681E+000
2.3728813559322035E-001	1.4474236069649631E+000
2.5423728813559321E-001	1.4377441792759798E+000
2.7118644067796610E-001	1.4282540019579657E+000
2.8813559322033899E-001	1.4189489639314545E+000
3.0508474576271188E-001	1.4098232340925032E+000
3.2203389830508472E-001	1.4008692493350601E+000
3.3898305084745761E-001	1.3920776891288733E+000
3.5593220338983050E-001	1.3834373937586402E+000
3.7288135593220340E-001	1.3749352566910791E+000
3.8983050847457629E-001	1.3665560714073957E+000
4.0677966101694918E-001	1.3582823368646686E+000
4.2372881355932202E-001	1.3500940263116175E+000
4.4067796610169491E-001	1.3419682965640625E+000
4.5762711864406780E-001	1.3338791666552490E+000
4.7457627118644069E-001	1.3257971165827769E+000
4.9152542372881358E-001	1.3176886580384086E+000
5.0847457627118642E-001	1.3095158028276386E+000
5.2542372881355937E-001	1.3012355022604314E+000
5.4237288135593220E-001	1.2927989593284970E+000
5.5932203389830504E-001	1.2841509071853270E+000
5.7627118644067798E-001	1.2752287318028666E+000
5.9322033898305082E-001	1.2659615524055954E+000
6.1016949152542377E-001	1.2562691117187705E+000
6.2711864406779660E-001	1.2460606106116641E+000
6.4406779661016944E-001	1.2352333095453440E+000
6.6101694915254239E-001	1.2236710531077666E+000
6.7796610169491522E-001	1.2112425061052188E+000
6.9491525423728817E-001	1.1977992756479849E+000
7.1186440677966101E-001	1.1831736736909801E+000
7.2881355932203384E-001	1.1671762939043955E+000
7.4576271186440679E-001	1.1495931404657731E+000
7.6271186440677963E-001	1.1301824201810362E+000
7.7966101694915257E-001	1.1086707861222935E+000
7.9661016949152541E-001	1.0847489072906527E+000
8.1355932203389836E-001	1.0580663990033430E+000
8.3050847457627119E-001	1.0282252772732519E+000
8.4745762711864403E-001	9.9477272393662941E-001
8.6440677966101698E-001	9.5719040643685571E-001
8.8135593220338981E-001	9.1488297960522513E-001
8.9830508474576276E-001	8.6715754583937787E-001
9.1525423728813560E-001	8.1319990121725616E-001
9.3220338983050843E-001	7.5202674659100077E-001
9.4915254237288138E-001	6.8240547967798482E-001
9.6610169491525422E-001	6.0266498545409419E-001
9.8305084745762716E-001	5.1022928320219629E-001
1.0000000000000000E+000	4.0000260548731076E-001
