x	y
0.0000000000000000E+000	8.4808954327429103E-007
1.6949152542372881E-002	-2.1339598415807581E-002
3.3898305084745763E-002	-3.7216804648461138E-002
5.0847457627118647E-002	-4.7405950516559825E-002
6.7796610169491525E-002	-5.1081221546398492E-002
8.4745762711864403E-002	-4.9245859798576361E-002
1.0169491525423729E-001	-4.3997524856430936E-002
1.1864406779661017E-001	-3.7083948474999240E-002
1.3559322033898305E-001	-2.9677043386905688E-002
1.5254237288135594E-001	-2.2861516860622582E-002
1.6949152542372881E-001	-1.7610304379041635E-002
1.8644067796610170E-001	-1.4371451139645020E-002
2.0338983050847459E-001	-1.2966892550559696E-002
2.2033898305084745E-001	-1.2838924857664573E-002
2.3728813559322035E-001	-1.3349083427632866E-002
2.5423728813559321E-001	-1.3963896632994327E-002
2.7118644067796610E-001	-1.4323612879822247E-002
2.8813559322033899E-001	-1.4239901843909969E-002
3.0508474576271188E-001	-1.3660521191232849E-002
3.2203389830508472E-001	-1.2623802304138792E-002
3.3898305084745761E-001	-1.1215054067679055E-002
3.5593220338983050E-001	-9.5329443701509167E-003
3.7288135593220340E-001	-7.6690835339360787E-003
3.8983050847457629E-001	-5.7000548949778353E-003
4.0677966101694918E-001	-3.6881095867120398E-003
4.2372881355932202E-001	-1.6856489130427895E-003
4.4067796610169491E-001	2.6067878040546424E-004
4.5762711864406780E-001	2.1087591956595762E-003
4.7457627118644069E-001	3.8233212016422166E-003
4.9152542372881358E-001	5.3809075384387058E-003
5.0847457627118642E-001	6.7758960937766019E-003
5.2542372881355937E-001	8.0260002004940677E-003
5.4237288135593220E-001	9.1761053624841056E-003
5.5932203389830504E-001	1.0300078315898548E-002
5.7627118644067798E-001	1.1500382672429206E-002
5.9322033898305082E-001	1.2905437601855488E-002
6.1016949152542377E-001	1.4664043793240026E-002
6.2711864406779660E-001	1.6935854414540173E-002
6.4406779661016944E-001	1.9876489277652273E-002
6.6101694915254239E-001	2.3616532172297484E-002
6.7796610169491522E-001	2.8234870801737713E-002
6.9491525423728817E-001	3.3729700804087666E-002
7.1186440677966101E-001	3.9993350130212553E-002
7.2881355932203384E-001	4.6798748874746651E-002
7.4576271186440679E-001	5.3802808973441106E-002
7.6271186440677963E-001	6.0564609749214189E-002
7.7966101694915257E-001	6.6572593639606922E-002
7.9661016949152541E-001	7.1278024846214746E-002
8.1355932203389836E-001	7.4143742364878293E-002
8.3050847457627119E-001	7.4718225415049175E-002
8.4745762711864403E-001	7.2729714007479337E-002
8.6440677966101698E-001	6.8173193783414118E-002
8.8135593220338981E-001	6.1350000129632369E-002
8.9830508474576276E-001	5.2832918672870141E-002
9.1525423728813560E-001	4.3355129958612779E-002
9.3220338983050843E-001	3.3650847341576917E-002
9.4915254237288138E-001	2.4295120547384932E-002
9.6610169491525422E-001	1.5592274957061834E-002
9.8305084745762716E-001	7.5561019604465729E-003
1.0000000000000000E+000	6.0435862181311586E-008
